role,variant,K,threshold,n,strict_correct,reverse,model_tie,unavailable,strict_accuracy,eligible_bidirectional_pairs,both_directions_correct,preferred@1,queries,triggered_queries,triggered_fraction,judged_candidates,mean_judged,requested_candidates,mean_requested,missing_judge_candidates,fallback_queries,changed_queries
development,fusion_margin,20,4.309415817260742e-05,74,38,36,0,0,0.5135135135135135,37,3,0.33783783783783783,76,0,0.0,0,0.0,0,0.0,0,0,0
development,fusion_margin,20,0.0003768503665924072,74,38,36,0,0,0.5135135135135135,37,3,0.33783783783783783,76,1,0.013157894736842105,20,0.2631578947368421,20,0.2631578947368421,0,0,0
development,fusion_margin,20,0.0007225871086120605,74,38,36,0,0,0.5135135135135135,37,3,0.33783783783783783,76,2,0.02631578947368421,40,0.5263157894736842,40,0.5263157894736842,0,0,1
development,fusion_margin,20,0.0011253058910369873,74,38,36,0,0,0.5135135135135135,37,3,0.33783783783783783,76,3,0.039473684210526314,60,0.7894736842105263,60,0.7894736842105263,0,0,2
development,fusion_margin,20,0.0016300082206726074,74,38,36,0,0,0.5135135135135135,37,3,0.33783783783783783,76,3,0.039473684210526314,60,0.7894736842105263,60,0.7894736842105263,0,0,2
development,fusion_margin,20,0.001825764775276184,74,39,35,0,0,0.527027027027027,37,4,0.35135135135135137,76,4,0.05263157894736842,80,1.0526315789473684,80,1.0526315789473684,0,0,3
development,fusion_margin,20,0.0020039379596710205,74,40,34,0,0,0.5405405405405406,37,5,0.35135135135135137,76,5,0.06578947368421052,100,1.3157894736842106,100,1.3157894736842106,0,0,4
development,fusion_margin,20,0.0025229603052139295,74,40,34,0,0,0.5405405405405406,37,5,0.35135135135135137,76,6,0.07894736842105263,120,1.5789473684210527,120,1.5789473684210527,0,0,4
development,fusion_margin,20,0.0037412643432617188,74,40,34,0,0,0.5405405405405406,37,5,0.35135135135135137,76,6,0.07894736842105263,120,1.5789473684210527,120,1.5789473684210527,0,0,4
development,fusion_margin,20,0.005779251456260681,74,40,34,0,0,0.5405405405405406,37,5,0.35135135135135137,76,7,0.09210526315789473,140,1.8421052631578947,140,1.8421052631578947,0,0,4
development,fusion_margin,20,0.007037639617919922,74,40,34,0,0,0.5405405405405406,37,5,0.35135135135135137,76,8,0.10526315789473684,159,2.0921052631578947,160,2.1052631578947367,1,1,4
development,fusion_margin,20,0.00779297947883606,74,40,34,0,0,0.5405405405405406,37,5,0.36486486486486486,76,9,0.11842105263157894,179,2.3552631578947367,180,2.3684210526315788,1,1,5
